Board State ,EVAL
r1bqkbnr/pp3ppp/2npp3/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,[%eval 0.23]
r1bqkbnr/pp3ppp/2npp3/8/3NP1P1/2N5/PPP2P1P/R1BQKB1R b KQkq g3 0 6,[%eval 0.14]
r1bqk1nr/pp2bppp/2npp3/8/3NP1P1/2N5/PPP2P1P/R1BQKB1R w KQkq - 1 7,[%eval 0.31]
r1bqk1nr/pp2bppp/2npp3/8/3NP1P1/2N1B3/PPP2P1P/R2QKB1R b KQkq - 2 7,[%eval 0.44]
r1bqk2r/pp2bppp/2nppn2/8/3NP1P1/2N1B3/PPP2P1P/R2QKB1R w KQkq - 3 8,[%eval 0.28]
r1bqk2r/pp2bppp/2nppn2/6P1/3NP3/2N1B3/PPP2P1P/R2QKB1R b KQkq - 0 8,[%eval 0.32]
r1bqk2r/pp1nbppp/2npp3/6P1/3NP3/2N1B3/PPP2P1P/R2QKB1R w KQkq - 1 9,[%eval 0.49]
r1bqk2r/pp1nbppp/2npp3/6P1/3NP2P/2N1B3/PPP2P2/R2QKB1R b KQkq h3 0 9,[%eval 0.34]
r1bqk2r/pp1nbppp/3pp3/6P1/3nP2P/2N1B3/PPP2P2/R2QKB1R w KQkq - 0 10,[%eval 1.08]
r1bqk2r/pp1nbppp/3pp3/6P1/3QP2P/2N1B3/PPP2P2/R3KB1R b KQkq - 0 10,[%eval 1.01]
r1bqk2r/pp1nbppp/3p4/4p1P1/3QP2P/2N1B3/PPP2P2/R3KB1R w KQkq - 0 11,[%eval 1.13]
r1bqk2r/pp1nbppp/3p4/4p1P1/4P2P/2N1B3/PPPQ1P2/R3KB1R b KQkq - 1 11,[%eval 1.21]
r1bqk2r/pp2bppp/1n1p4/4p1P1/4P2P/2N1B3/PPPQ1P2/R3KB1R w KQkq - 2 12,[%eval 1.12]
r1bqk2r/pp2bppp/1n1p4/4p1P1/4P2P/2N1B3/PPPQ1P2/2KR1B1R b kq - 3 12,[%eval 1.2]
r2qk2r/pp2bppp/1n1pb3/4p1P1/4P2P/2N1B3/PPPQ1P2/2KR1B1R w kq - 4 13,[%eval 1.22]
r2qk2r/pp2bppp/1n1pb3/4p1P1/4P2P/2N1B3/PPPQ1P2/2KR1BR1 b kq - 5 13,[%eval 1.1]
r2qk2r/1p2bppp/pn1pb3/4p1P1/4P2P/2N1B3/PPPQ1P2/2KR1BR1 w kq - 0 14,[%eval 1.33]
r2qk2r/1p2bppp/pn1pb3/4p1P1/4PP1P/2N1B3/PPPQ4/2KR1BR1 b kq f3 0 14,[%eval 1.57]
r2qk2r/1p2bppp/pn1pb3/6P1/4Pp1P/2N1B3/PPPQ4/2KR1BR1 w kq - 0 15,[%eval 1.63]
r2qk2r/1p2bppp/pn1pb3/6P1/4PB1P/2N5/PPPQ4/2KR1BR1 b kq - 0 15,[%eval 1.32]
r3k2r/1pq1bppp/pn1pb3/6P1/4PB1P/2N5/PPPQ4/2KR1BR1 w kq - 1 16,[%eval 1.45]
r3k2r/1pq1bppp/pn1Bb3/6P1/4P2P/2N5/PPPQ4/2KR1BR1 b kq - 0 16,[%eval 1.02]
r3k2r/1pq2ppp/pn1bb3/6P1/4P2P/2N5/PPPQ4/2KR1BR1 w kq - 0 17,[%eval 1.06]
r3k2r/1pq2ppp/pn1Qb3/6P1/4P2P/2N5/PPP5/2KR1BR1 b kq - 0 17,[%eval 1.06]
r3k2r/1p3ppp/pn1qb3/6P1/4P2P/2N5/PPP5/2KR1BR1 w kq - 0 18,[%eval 1.02]
r3k2r/1p3ppp/pn1Rb3/6P1/4P2P/2N5/PPP5/2K2BR1 b kq - 0 18,[%eval 1.03]
r3k2r/1p3ppp/p2Rb3/6P1/2n1P2P/2N5/PPP5/2K2BR1 w kq - 1 19,[%eval 2.74]
r3k2r/1p3ppp/p3R3/6P1/2n1P2P/2N5/PPP5/2K2BR1 b kq - 0 19,[%eval 2.76]
r3k2r/1p4pp/p3p3/6P1/2n1P2P/2N5/PPP5/2K2BR1 w kq - 0 20,[%eval 2.67]
r3k2r/1p4pp/p3p3/6P1/2B1P2P/2N5/PPP5/2K3R1 b kq - 0 20,[%eval 2.76]
r6r/1p2k1pp/p3p3/6P1/2B1P2P/2N5/PPP5/2K3R1 w - - 1 21,[%eval 2.67]
r6r/1p2k1pp/p3p3/4P1P1/2B4P/2N5/PPP5/2K3R1 b - - 0 21,[%eval 2.55]
