Board State ,EVAL
r3kb1r/pp1b1ppp/8/1q1pPp2/3B4/2P5/P2N1PPP/R2QK2R w KQkq - 2 14,[%eval -0.78]
r3kb1r/pp1b1ppp/8/1q1pPp2/3B4/1NP5/P4PPP/R2QK2R b KQkq - 3 14,[%eval -0.96]
r3k2r/pp1bbppp/8/1q1pPp2/3B4/1NP5/P4PPP/R2QK2R w KQkq - 4 15,[%eval -0.84]
r3k2r/pp1bbppp/8/1q1pPp2/3B4/1NP5/P4PPP/1R1QK2R b Kkq - 5 15,[%eval -0.7]
r3k2r/pp1bbppp/q7/3pPp2/3B4/1NP5/P4PPP/1R1QK2R w Kkq - 6 16,[%eval -0.82]
r3k2r/pp1bbppp/q7/2NpPp2/3B4/2P5/P4PPP/1R1QK2R b Kkq - 7 16,[%eval -0.53]
r3k2r/pp1b1ppp/q7/2bpPp2/3B4/2P5/P4PPP/1R1QK2R w Kkq - 0 17,[%eval -0.78]
r3k2r/pp1b1ppp/q7/2BpPp2/8/2P5/P4PPP/1R1QK2R b Kkq - 0 17,[%eval -0.6]
r3k2r/pp3ppp/q1b5/2BpPp2/8/2P5/P4PPP/1R1QK2R w Kkq - 1 18,[%eval -0.58]
r3k2r/pp3ppp/q1bB4/3pPp2/8/2P5/P4PPP/1R1QK2R b Kkq - 2 18,[%eval -0.72]
3rk2r/pp3ppp/q1bB4/3pPp2/8/2P5/P4PPP/1R1QK2R w Kk - 3 19,[%eval -0.01]
3rk2r/pp3ppp/q1bB4/3pPp2/8/2P5/P2Q1PPP/1R2K2R b Kk - 4 19,[%eval -0.32]
4k2r/pp3ppp/q1br4/3pPp2/8/2P5/P2Q1PPP/1R2K2R w Kk - 0 20,[%eval 0.06]
4k2r/pp3ppp/q1bP4/3p1p2/8/2P5/P2Q1PPP/1R2K2R b Kk - 0 20,[%eval 0.04]
5rk1/pp3ppp/q1bP4/3p1p2/8/2P5/P2Q1PPP/1R2K2R w K - 1 21,[%eval 0.0]
5rk1/pp3ppp/q1bP4/3p1p2/8/2P5/P2Q1PPP/1R1K3R b - - 2 21,[%eval -1.42]
5rk1/pp3ppp/q2P4/3p1p2/b7/2P5/P2Q1PPP/1R1K3R w - - 3 22,[%eval 0.0]
5rk1/pp3ppp/q2P4/3p1p2/b7/2P5/P2Q1PPP/1RK4R b - - 4 22,[%eval -0.01]
2r3k1/pp3ppp/q2P4/3p1p2/b7/2P5/P2Q1PPP/1RK4R w - - 5 23,[%eval 0.02]
2r3k1/pp3ppp/q2P4/3p1p2/b2Q4/2P5/P4PPP/1RK4R b - - 6 23,[%eval 0.0]
6k1/pp3ppp/q2P4/3p1p2/b1rQ4/2P5/P4PPP/1RK4R w - - 7 24,[%eval 0.0]
6k1/pp3ppp/q2P4/3p1p2/b1r5/2P5/P2Q1PPP/1RK4R b - - 8 24,[%eval -2.43]
6k1/pp3ppp/3q4/3p1p2/b1r5/2P5/P2Q1PPP/1RK4R w - - 0 25,[%eval -0.66]
6k1/pp3ppp/3q4/3p1p2/bRr5/2P5/P2Q1PPP/2K4R b - - 1 25,[%eval -12.79]
6k1/pp3ppp/8/3p1p2/bqr5/2P5/P2Q1PPP/2K4R w - - 0 26,[%eval -11.77]
rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,[%eval -0.16]
rnbqkbnr/ppp1pppp/3p4/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,[%eval 0.28]
rnbqkbnr/ppp1pppp/3p4/8/8/6P1/PPPPPPBP/RNBQK1NR b KQkq - 1 2,[%eval 0.03]
rnbqkb1r/ppp1pppp/3p1n2/8/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 2 3,[%eval 0.17]
rnbqkb1r/pBp1pppp/3p1n2/8/8/6P1/PPPPPP1P/RNBQK1NR b KQkq - 0 3,[%eval -3.32]
rnbqkb1r/pBp1pp1p/3p1np1/8/8/6P1/PPPPPP1P/RNBQK1NR w KQkq - 0 4,[%eval 4.05]
Bnbqkb1r/p1p1pp1p/3p1np1/8/8/6P1/PPPPPP1P/RNBQK1NR b KQk - 0 4,[%eval 4.36]
Bnbqk2r/p1p1ppbp/3p1np1/8/8/6P1/PPPPPP1P/RNBQK1NR w KQk - 1 5,[%eval 5.16]
1nbqk2r/p1p1ppbp/3p1np1/8/8/6P1/PPPPPPBP/RNBQK1NR b KQk - 2 5,[%eval 5.27]
1nbq1rk1/p1p1ppbp/3p1np1/8/8/6P1/PPPPPPBP/RNBQK1NR w KQ - 3 6,[%eval 5.22]
1nbq1rk1/p1p1ppbp/3p1np1/8/8/5NP1/PPPPPPBP/RNBQK2R b KQ - 4 6,[%eval 5.29]
1nbq1rk1/p1p2pbp/3p1np1/4p3/8/5NP1/PPPPPPBP/RNBQK2R w KQ e6 0 7,[%eval 5.31]
1nbq1rk1/p1p2pbp/3p1np1/4p3/8/5NP1/PPPPPPBP/RNBQ1RK1 b - - 1 7,[%eval 5.08]
1nbq1rk1/p1p2pbp/3p1np1/8/4p3/5NP1/PPPPPPBP/RNBQ1RK1 w - - 0 8,[%eval 5.1]
1nbq1rk1/p1p2pbp/3p1np1/8/4p3/6P1/PPPPPPBP/RNBQNRK1 b - - 1 8,[%eval 5.11]
1nbq1rk1/p1p2pbp/5np1/3p4/4p3/6P1/PPPPPPBP/RNBQNRK1 w - - 0 9,[%eval 5.24]
1nbq1rk1/p1p2pbp/5np1/3p4/4p3/4P1P1/PPPP1PBP/RNBQNRK1 b - - 0 9,[%eval 4.74]
1nbq1rk1/p4pbp/2p2np1/3p4/4p3/4P1P1/PPPP1PBP/RNBQNRK1 w - - 0 10,[%eval 4.92]
1nbq1rk1/p4pbp/2p2np1/3p4/3Pp3/4P1P1/PPP2PBP/RNBQNRK1 b - d3 0 10,[%eval 4.35]
1n1q1rk1/p4pbp/2p2np1/3p4/3Pp1b1/4P1P1/PPP2PBP/RNBQNRK1 w - - 1 11,[%eval 5.03]
1n1q1rk1/p4pbp/2p2np1/3p4/3Pp1b1/4PPP1/PPP3BP/RNBQNRK1 b - - 0 11,[%eval 5.2]
1n1q1rk1/p4pbp/2p2np1/3p1b2/3Pp3/4PPP1/PPP3BP/RNBQNRK1 w - - 1 12,[%eval 5.46]
1n1q1rk1/p4pbp/2p2np1/3p1b2/3PpP2/4P1P1/PPP3BP/RNBQNRK1 b - - 0 12,[%eval 4.7]
1n1q1rk1/p4pbp/2p2np1/3p4/3PpPb1/4P1P1/PPP3BP/RNBQNRK1 w - - 1 13,[%eval 4.99]
1n1q1rk1/p4pbp/2p2np1/3p4/3PpPb1/4P1P1/PPPQ2BP/RNB1NRK1 b - - 2 13,[%eval 5.01]
3q1rk1/p2n1pbp/2p2np1/3p4/3PpPb1/4P1P1/PPPQ2BP/RNB1NRK1 w - - 3 14,[%eval 5.06]
3q1rk1/p2n1pbp/2p2np1/3p4/3PpPb1/2P1P1P1/PP1Q2BP/RNB1NRK1 b - - 0 14,[%eval 4.91]
5rk1/p2n1pbp/1qp2np1/3p4/3PpPb1/2P1P1P1/PP1Q2BP/RNB1NRK1 w - - 1 15,[%eval 5.06]
5rk1/p2n1pbp/1qp2np1/3p4/3PpPb1/2P1P1PP/PP1Q2B1/RNB1NRK1 b - - 0 15,[%eval 5.56]
5rk1/p2n1pbp/1qp1bnp1/3p4/3PpP2/2P1P1PP/PP1Q2B1/RNB1NRK1 w - - 1 16,[%eval 5.53]
5rk1/p2n1pbp/1qp1bnp1/3p4/3PpPP1/2P1P2P/PP1Q2B1/RNB1NRK1 b - - 0 16,[%eval 5.55]
5rk1/p2n1pbp/1qp2np1/3p4/3PpPb1/2P1P2P/PP1Q2B1/RNB1NRK1 w - - 0 17,[%eval 6.43]
5rk1/p2n1pbp/1qp2np1/3p4/3PpPP1/2P1P3/PP1Q2B1/RNB1NRK1 b - - 0 17,[%eval 6.36]
5rk1/p2n1pbp/1qp3p1/3p4/3PpPn1/2P1P3/PP1Q2B1/RNB1NRK1 w - - 0 18,[%eval 6.44]
5rk1/p2n1pbp/1qp3p1/3p4/3PpPn1/2P1P2B/PP1Q4/RNB1NRK1 b - - 1 18,[%eval 6.53]
5rk1/p4pbp/1qp2np1/3p4/3PpPn1/2P1P2B/PP1Q4/RNB1NRK1 w - - 2 19,[%eval 6.8]
5rk1/p4pbp/1qp2np1/3p4/3PpPB1/2P1P3/PP1Q4/RNB1NRK1 b - - 0 19,[%eval 6.18]
5rk1/p4pbp/1qp3p1/3p4/3PpPn1/2P1P3/PP1Q4/RNB1NRK1 w - - 0 20,[%eval 6.27]
5rk1/p4pbp/1qp3p1/3p4/3PpPn1/2P1P3/PP4Q1/RNB1NRK1 b - - 1 20,[%eval 5.9]
5rk1/p4pb1/1qp3p1/3p3p/3PpPn1/2P1P3/PP4Q1/RNB1NRK1 w - h6 0 21,[%eval 6.07]
5rk1/p4pb1/1qp3p1/3p3p/1P1PpPn1/2P1P3/P5Q1/RNB1NRK1 b - b3 0 21,[%eval 5.8]
5rk1/5pb1/1qp3p1/p2p3p/1P1PpPn1/2P1P3/P5Q1/RNB1NRK1 w - a6 0 22,[%eval 6.01]
5rk1/5pb1/1qp3p1/p2p3p/1P1PpPn1/2P1P3/P2N2Q1/R1B1NRK1 b - - 1 22,[%eval 4.31]
5rk1/5pb1/1qp3p1/3p3p/1p1PpPn1/2P1P3/P2N2Q1/R1B1NRK1 w - - 0 23,[%eval 4.81]
5rk1/5pb1/1qp3p1/3p3p/1pPPpPn1/4P3/P2N2Q1/R1B1NRK1 b - - 0 23,[%eval 0.28]
5rk1/5p2/1qp3p1/3p3p/1pPbpPn1/4P3/P2N2Q1/R1B1NRK1 w - - 0 24,[%eval 1.64]
5rk1/5p2/1qp3p1/3p3p/1pPPpPn1/8/P2N2Q1/R1B1NRK1 b - - 0 24,[%eval 1.79]
5rk1/5p2/2p3p1/3p3p/1pPqpPn1/8/P2N2Q1/R1B1NRK1 w - - 0 25,[%eval 1.49]
5rk1/5p2/2p3p1/3p3p/1pPqpPn1/8/P2N2Q1/R1B1NR1K b - - 1 25,[%eval 1.82]
5rk1/5p2/2p3p1/3p3p/1pP1pPn1/8/P2N2Q1/q1B1NR1K w - - 0 26,[%eval 1.53]
5rk1/5p2/2p3p1/3p3p/1pP1pPn1/8/P1NN2Q1/q1B2R1K b - - 1 26,[%eval 0.19]
5rk1/5p2/2p2qp1/3p3p/1pP1pPn1/8/P1NN2Q1/2B2R1K w - - 2 27,[%eval 1.14]
5rk1/5p2/2p2qp1/3p3p/1pP1pPn1/4N3/P2N2Q1/2B2R1K b - - 3 27,[%eval -6.14]
5rk1/5p2/2p2qp1/3p3p/1pP1pP2/4n3/P2N2Q1/2B2R1K w - - 0 28,[%eval -6.01]
5rk1/5p2/2p2qp1/3p3p/1pP1pP2/4n3/P2N1Q2/2B2R1K b - - 1 28,[%eval -6.13]
5rk1/5p2/2p2qp1/3p3p/1pP1pP2/8/P2N1Q2/2B2n1K w - - 0 29,[%eval -6.26]
5rk1/5p2/2p2qp1/3p3p/1pP1pP2/8/P4Q2/2B2N1K b - - 0 29,[%eval -5.88]
4r1k1/5p2/2p2qp1/3p3p/1pP1pP2/8/P4Q2/2B2N1K w - - 1 30,[%eval -3.91]
4r1k1/5p2/2p2qp1/3p3p/1pP1pP2/4N3/P4Q2/2B4K b - - 2 30,[%eval -6.27]
4r1k1/5p2/2p2qp1/7p/1pPppP2/4N3/P4Q2/2B4K w - - 0 31,[%eval -6.29]
4r1k1/5p2/2p2qp1/7p/1pPppP2/8/P1N2Q2/2B4K b - - 1 31,[%eval -7.91]
4r1k1/5p2/2p2qp1/7p/1pPp1P2/4p3/P1N2Q2/2B4K w - - 0 32,[%eval -7.68]
4r1k1/5p2/2p2qp1/7p/1pPp1P2/4pQ2/P1N5/2B4K b - - 1 32,[%eval -10.86]
4r1k1/5p2/2p2qp1/7p/1pPp1P2/5Q2/P1N1p3/2B4K w - - 0 33,[%eval -5.58]
4r1k1/5p2/2p1q1p1/7p/1pPp1P2/5Q2/P3p3/2B1N2K w - - 2 34,[%eval -5.67]
4r1k1/5p2/2p1q1p1/7p/1pPp1P2/5Q2/PB2p3/4N2K b - - 3 34,[%eval -6.94]
4r1k1/5p2/2p3p1/7p/1pPpqP2/5Q2/PB2p3/4N2K w - - 4 35,[%eval -5.99]
4r1k1/5p2/2p3p1/7p/1pPpQP2/8/PB2p3/4N2K b - - 0 35,[%eval -6.2]
6k1/5p2/2p3p1/7p/1pPprP2/8/PB2p3/4N2K w - - 0 36,[%eval -5.98]
6k1/5p2/2p3p1/7p/1pPprP2/8/PB2p1K1/4N3 b - - 1 36,[%eval -8.85]
6k1/5p2/2p3p1/7p/1pP1rP2/3p4/PB2p1K1/4N3 w - - 0 37,[%eval -6.84]
6k1/5p2/2p3p1/7p/1pP1rP2/3p4/PB2pK2/4N3 b - - 1 37,[%eval -25.52]
6k1/5p2/2p3p1/7p/1pP1rP2/8/PB1ppK2/4N3 w - - 0 38,[%eval -29.46]
6k1/5p2/2p3p1/8/1pP3qp/4K3/PB6/8 w - - 0 44,[%eval -60.48]
6k1/5p2/2p3p1/4B3/1pP3q1/4K2p/P7/8 w - - 0 45,[%eval -62.83]
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1,[%eval 0.32]
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2,[%eval 0.34]
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,[%eval 0.25]
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,[%eval 0.15]
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq d3 0 3,[%eval 0.0]
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,[%eval 0.05]
r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,[%eval 0.06]
r1b1kbnr/pppp1ppp/2n2q2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,[%eval 0.3]
r1b1kbnr/pppp1ppp/2n2q2/8/3NP3/4B3/PPP2PPP/RN1QKB1R b KQkq - 2 5,[%eval 0.23]
r1b1kb1r/pppp1ppp/2n2q1n/8/3NP3/4B3/PPP2PPP/RN1QKB1R w KQkq - 3 6,[%eval 1.2]
r1b1kb1r/pppp1ppp/2n2q1n/8/3NP3/4B2P/PPP2PP1/RN1QKB1R b KQkq - 0 6,[%eval 0.54]
r1b1k2r/pppp1ppp/2n2q1n/2b5/3NP3/4B2P/PPP2PP1/RN1QKB1R w KQkq - 1 7,[%eval 0.65]
r1b1k2r/pppp1ppp/2n2q1n/2b5/3NP3/2P1B2P/PP3PP1/RN1QKB1R b KQkq - 0 7,[%eval 0.69]
r1b1k2r/1ppp1ppp/2n2q1n/p1b5/3NP3/2P1B2P/PP3PP1/RN1QKB1R w KQkq a6 0 8,[%eval 0.78]
r1b1k2r/1ppp1ppp/2n2q1n/p1b5/3NP3/2P1B2P/PP1N1PP1/R2QKB1R b KQkq - 1 8,[%eval 0.22]
r1b1k2r/1ppp1ppp/5q1n/p1b5/3nP3/2P1B2P/PP1N1PP1/R2QKB1R w KQkq - 0 9,[%eval 0.24]
r1b1k2r/1ppp1ppp/5q1n/p1b5/3PP3/4B2P/PP1N1PP1/R2QKB1R b KQkq - 0 9,[%eval -0.1]
r1b1k2r/1ppp1ppp/5q1n/p7/1b1PP3/4B2P/PP1N1PP1/R2QKB1R w KQkq - 1 10,[%eval 1.2]
r1b1k2r/1ppp1ppp/5q1n/p7/1b1PP3/P3B2P/1P1N1PP1/R2QKB1R b KQkq - 0 10,[%eval 1.22]
r1b1k2r/1pppbppp/5q1n/p7/3PP3/P3B2P/1P1N1PP1/R2QKB1R w KQkq - 1 11,[%eval 1.82]
r1b1k2r/1pppbppp/5q1n/p3P3/3P4/P3B2P/1P1N1PP1/R2QKB1R b KQkq - 0 11,[%eval 1.01]
r1b1k2r/1pppbppp/6qn/p3P3/3P4/P3B2P/1P1N1PP1/R2QKB1R w KQkq - 1 12,[%eval 1.16]
r1b1k2r/1pppbppp/6qn/p3P3/3P4/P3BQ1P/1P1N1PP1/R3KB1R b KQkq - 2 12,[%eval 0.37]
r1b2rk1/1pppbppp/6qn/p3P3/3P4/P3BQ1P/1P1N1PP1/R3KB1R w KQ - 3 13,[%eval 0.66]
r1b2rk1/1pppbppp/6qn/p3P3/3P4/P3BQ1P/1P1N1PP1/3RKB1R b K - 4 13,[%eval 0.03]
r1b2rk1/1pppbppp/6q1/p3Pn2/3P4/P3BQ1P/1P1N1PP1/3RKB1R w K - 5 14,[%eval 0.05]
r1b2rk1/1pppbppp/6q1/p3Pn2/3P4/P2BBQ1P/1P1N1PP1/3RK2R b K - 6 14,[%eval 0.08]
r1b2rk1/1pp1bppp/6q1/p2pPn2/3P4/P2BBQ1P/1P1N1PP1/3RK2R w K d6 0 15,[%eval 0.1]
r1b2rk1/1pp1bppp/6q1/p2pPn2/3P2P1/P2BBQ1P/1P1N1P2/3RK2R b K g3 0 15,[%eval -0.1]
r1b2rk1/1pp1bppp/6q1/p2pP3/3P2Pn/P2BBQ1P/1P1N1P2/3RK2R w K - 1 16,[%eval -0.14]
r1b2rk1/1pp1bppp/6B1/p2pP3/3P2Pn/P3BQ1P/1P1N1P2/3RK2R b K - 0 16,[%eval -0.16]
r1b2rk1/1pp1bppp/6B1/p2pP3/3P2P1/P3Bn1P/1P1N1P2/3RK2R w K - 0 17,[%eval -0.12]
r1b2rk1/1pp1bppp/6B1/p2pP3/3P2P1/P3BN1P/1P3P2/3RK2R b K - 0 17,[%eval -0.12]
r1b2rk1/1pp1b1pp/6p1/p2pP3/3P2P1/P3BN1P/1P3P2/3RK2R w K - 0 18,[%eval -0.08]
r1b2rk1/1pp1b1pp/6p1/p2pP3/3P2P1/P3B2P/1P1N1P2/3RK2R b K - 1 18,[%eval -0.11]
r1b2rk1/1pp3pp/6p1/p2pP3/3P2Pb/P3B2P/1P1N1P2/3RK2R w K - 2 19,[%eval 0.08]
r1b2rk1/1pp3pp/6p1/p2pP3/3P2Pb/PN2B2P/1P3P2/3RK2R b K - 3 19,[%eval -0.08]
r1b2rk1/2p3pp/1p4p1/p2pP3/3P2Pb/PN2B2P/1P3P2/3RK2R w K - 0 20,[%eval -0.26]
r1b2rk1/2p3pp/1p4p1/p2pP3/3P2Pb/PN2B2P/1P2KP2/3R3R b - - 1 20,[%eval -1.66]
r4rk1/2pb2pp/1p4p1/p2pP3/3P2Pb/PN2B2P/1P2KP2/3R3R w - - 2 21,[%eval -0.27]
r4rk1/2pb2pp/1p4p1/p2pP3/3P2Pb/P3B2P/1P1NKP2/3R3R b - - 3 21,[%eval -1.03]
r4rk1/2p3pp/1p4p1/pb1pP3/3P2Pb/P3B2P/1P1NKP2/3R3R w - - 4 22,[%eval -1.12]
r4rk1/2p3pp/1p4p1/pb1pP3/3P2Pb/P3B2P/1P1N1P2/3RK2R b - - 5 22,[%eval -0.89]
r4rk1/2p3pp/1p4p1/p2pP3/3P2Pb/P2bB2P/1P1N1P2/3RK2R w - - 6 23,[%eval -0.5]
r4rk1/2p3pp/1p4p1/p2pP3/3P2Pb/P2bB2P/1P3P2/1N1RK2R b - - 7 23,[%eval -0.94]
r4rk1/2p3pp/1p4p1/p2pP3/3Pb1Pb/P3B2P/1P3P2/1N1RK2R w - - 8 24,[%eval -0.34]
r4rk1/2p3pp/1p4p1/p2pP3/3Pb1Pb/P3B2P/1P3P1R/1N1RK3 b - - 9 24,[%eval -0.52]
4rrk1/2p3pp/1p4p1/p2pP3/3Pb1Pb/P3B2P/1P3P1R/1N1RK3 w - - 10 25,[%eval -0.06]
4rrk1/2p3pp/1p4p1/p2pP3/3Pb1Pb/P1N1B2P/1P3P1R/3RK3 b - - 11 25,[%eval -0.88]
4rrk1/2p3pp/1p4p1/p2pP3/3P2Pb/P1N1Bb1P/1P3P1R/3RK3 w - - 12 26,[%eval -0.8]
4rrk1/2p3pp/1p4p1/p2pP3/3P2Pb/P1N1Bb1P/1P1R1P1R/4K3 b - - 13 26,[%eval -1.03]
5rk1/2p1r1pp/1p4p1/p2pP3/3P2Pb/P1N1Bb1P/1P1R1P1R/4K3 w - - 14 27,[%eval -0.7]
5rk1/2p1r1pp/1p4p1/pN1pP3/3P2Pb/P3Bb1P/1P1R1P1R/4K3 b - - 15 27,[%eval -0.81]
5rk1/2p2rpp/1p4p1/pN1pP3/3P2Pb/P3Bb1P/1P1R1P1R/4K3 w - - 16 28,[%eval 0.0]
5rk1/N1p2rpp/1p4p1/p2pP3/3P2Pb/P3Bb1P/1P1R1P1R/4K3 b - - 17 28,[%eval -3.34]
5rk1/N1p2rpp/1p4p1/p2pP3/3Pb1Pb/P3B2P/1P1R1P1R/4K3 w - - 18 29,[%eval -1.2]
5rk1/2p2rpp/1p4p1/pN1pP3/3Pb1Pb/P3B2P/1P1R1P1R/4K3 b - - 19 29,[%eval -1.15]
5rk1/2p2rpp/1p6/pN1pP1p1/3Pb1Pb/P3B2P/1P1R1P1R/4K3 w - - 0 30,[%eval 0.0]
5rk1/2p2rpp/1p6/p2pP1p1/3Pb1Pb/P1N1B2P/1P1R1P1R/4K3 b - - 1 30,[%eval 0.0]
5rk1/2p2rpp/1p6/p2pP1p1/3P2Pb/P1N1Bb1P/1P1R1P1R/4K3 w - - 2 31,[%eval -0.08]
5rk1/2p2rpp/1p6/pN1pP1p1/3P2Pb/P3Bb1P/1P1R1P1R/4K3 b - - 3 31,[%eval -0.08]
5rk1/2p2rpp/1p6/pN1pP1p1/3Pb1Pb/P3B2P/1P1R1P1R/4K3 w - - 4 32,[%eval 0.0]
5rk1/2p2rpp/1p6/p2pP1p1/3Pb1Pb/P1N1B2P/1P1R1P1R/4K3 b - - 5 32,[%eval 0.0]
5rk1/2p2rpp/1p6/p2pP1p1/3P2Pb/P1N1Bb1P/1P1R1P1R/4K3 w - - 6 33,[%eval 0.0]
5rk1/2p2rpp/1p6/p2pP1p1/3P2Pb/P1N1Bb1P/1PR2P1R/4K3 b - - 7 33,[%eval -0.04]
2r3k1/2p2rpp/1p6/p2pP1p1/3P2Pb/P1N1Bb1P/1PR2P1R/4K3 w - - 8 34,[%eval 0.39]
2r3k1/2p2rpp/1p6/pN1pP1p1/3P2Pb/P3Bb1P/1PR2P1R/4K3 b - - 9 34,[%eval 0.32]
2r3k1/5rpp/1pp5/pN1pP1p1/3P2Pb/P3Bb1P/1PR2P1R/4K3 w - - 0 35,[%eval 1.79]
2r3k1/5rpp/1ppN4/p2pP1p1/3P2Pb/P3Bb1P/1PR2P1R/4K3 b - - 1 35,[%eval 1.82]
2r3k1/5rpp/1ppN4/p2pP1p1/3Pb1Pb/P3B2P/1PR2P1R/4K3 w - - 2 36,[%eval 2.03]
2r3k1/5rpp/1ppN4/p2pP1p1/3Pb1Pb/P3B2P/1P1R1P1R/4K3 b - - 3 36,[%eval 1.24]
2r3k1/5rpp/1p1N4/p1ppP1p1/3Pb1Pb/P3B2P/1P1R1P1R/4K3 w - - 0 37,[%eval 6.13]
2N3k1/5rpp/1p6/p1ppP1p1/3Pb1Pb/P3B2P/1P1R1P1R/4K3 b - - 0 37,[%eval 6.2]
2N3k1/5rpp/1p6/p2pP1p1/3pb1Pb/P3B2P/1P1R1P1R/4K3 w - - 0 38,[%eval 6.71]
2N3k1/5rpp/1p6/p2pP1p1/3Bb1Pb/P6P/1P1R1P1R/4K3 b - - 0 38,[%eval 6.68]
2N3k1/2r3pp/1p6/p2pP1p1/3Bb1Pb/P6P/1P1R1P1R/4K3 w - - 1 39,[%eval 7.12]
6k1/2r3pp/1p1N4/p2pP1p1/3Bb1Pb/P6P/1P1R1P1R/4K3 b - - 2 39,[%eval 7.0]
6k1/2r3pp/1p1N4/p2pP1p1/3B2Pb/P4b1P/1P1R1P1R/4K3 w - - 3 40,[%eval 7.74]
6k1/2r3pp/1p6/p2pPNp1/3B2Pb/P4b1P/1P1R1P1R/4K3 b - - 4 40,[%eval #-2]
6k1/6pp/1p6/p2pPNp1/3B2Pb/P4b1P/1P1R1P1R/2r1K3 w - - 5 41,[%eval #-1]
6k1/6pp/1p6/p2pPNp1/3B2Pb/P4b1P/1P3P1R/2rRK3 b - - 6 41,[%eval #-1]
6k1/6pp/1p6/p2pPNp1/3B2Pb/P4b1P/1P3P1R/3rK3 w - - 0 42,[%eval 0.12]
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1,[%eval 0.23]
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,[%eval 0.16]
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3 0 2,[%eval 0.25]
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq d6 0 3,[%eval 0.14]
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq - 1 3,[%eval -0.03]
rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 2 4,[%eval 0.13]
rnbqkb1r/ppp2ppp/4pn2/3pP3/3P4/8/PPPN1PPP/R1BQKBNR b KQkq - 0 4,[%eval 0.03]
rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/8/PPPN1PPP/R1BQKBNR w KQkq - 1 5,[%eval -0.06]
rnbqkb1r/pppn1ppp/4p3/3pP3/3P1P2/8/PPPN2PP/R1BQKBNR b KQkq f3 0 5,[%eval -0.09]
rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/8/PPPN2PP/R1BQKBNR w KQkq c6 0 6,[%eval -0.24]
rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/5N2/PPP3PP/R1BQKBNR b KQkq - 1 6,[%eval -0.18]
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/5N2/PPP3PP/R1BQKBNR w KQkq - 2 7,[%eval -0.15]
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/5N2/PPP1N1PP/R1BQKB1R b KQkq - 3 7,[%eval -0.1]
r1bqkb1r/p2n1ppp/2n1p3/1pppP3/3P1P2/5N2/PPP1N1PP/R1BQKB1R w KQkq b6 0 8,[%eval -0.28]
r1bqkb1r/p2n1ppp/2n1p3/1pPpP3/5P2/5N2/PPP1N1PP/R1BQKB1R b KQkq - 0 8,[%eval -0.35]
r1bqk2r/p2n1ppp/2n1p3/1pbpP3/5P2/5N2/PPP1N1PP/R1BQKB1R w KQkq - 0 9,[%eval -0.86]
r1bqk2r/p2n1ppp/2n1p3/1pbpP3/3N1P2/5N2/PPP3PP/R1BQKB1R b KQkq - 1 9,[%eval -0.78]
r1bqk2r/p2n1ppp/4p3/1pbpP3/3n1P2/5N2/PPP3PP/R1BQKB1R w KQkq - 0 10,[%eval -0.65]
r1bqk2r/p2n1ppp/4p3/1pbpP3/3N1P2/8/PPP3PP/R1BQKB1R b KQkq - 0 10,[%eval -0.58]
r1bqk2r/p4ppp/4p3/1pbpn3/3N1P2/8/PPP3PP/R1BQKB1R w KQkq - 0 11,[%eval -0.88]
r1bqk2r/p4ppp/4p3/1Bbpn3/3N1P2/8/PPP3PP/R1BQK2R b KQkq - 0 11,[%eval -0.86]
